test_type,room_width,room_height,n_exits,population,pct_staff,pct_adult,pct_patient,pct_child,time_steps,avg_evac_time,avg_death_time,num_evacuated,num_burned
fire_exits,500,500,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,250,0.5327272727272727,,22,0
fire_exits,500,500,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,300,0.5240952380952381,,21,0
fire_exits,500,500,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,350,0.5518823529411765,,17,0
fire_exits,500,500,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,400,0.3908947368421053,,19,0
fire_exits,500,500,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,450,0.4906538461538462,,26,0
fire_exits,500,500,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,500,0.6868000000000001,,25,0
fire_exits,500,500,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,250,0.7914000000000001,,25,0
fire_exits,500,500,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,300,0.9543200000000001,,25,0
fire_exits,500,500,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,350,0.7672222222222222,,27,0
fire_exits,500,500,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,400,1.0830833333333334,,24,0
fire_exits,500,500,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,450,0.7895909090909089,,22,0
fire_exits,500,500,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,500,0.9167391304347826,,23,0
fire_exits,500,500,1,50,0.25,0.25,0.25,0.25,250,0.9638125,,16,0
fire_exits,500,500,1,50,0.25,0.25,0.25,0.25,300,0.9858181818181818,,22,0
fire_exits,500,500,1,50,0.25,0.25,0.25,0.25,350,1.0820952380952378,,21,0
fire_exits,500,500,1,50,0.25,0.25,0.25,0.25,400,0.9871363636363636,,22,0
fire_exits,500,500,1,50,0.25,0.25,0.25,0.25,450,0.8447142857142858,,28,0
fire_exits,500,500,1,50,0.25,0.25,0.25,0.25,500,0.8951428571428572,,28,0
fire_exits,1000,1000,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,250,1.4209047619047621,,21,0
fire_exits,1000,1000,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,300,1.7799473684210527,,19,0
fire_exits,1000,1000,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,350,1.4965909090909093,,22,0
fire_exits,1000,1000,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,400,1.8881000000000001,,20,0
fire_exits,1000,1000,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,450,2.07735,,20,0
fire_exits,1000,1000,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,500,2.2814583333333336,,24,0
fire_exits,1000,1000,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,250,2.143882352941176,,17,0
fire_exits,1000,1000,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,300,2.3266,,25,0
fire_exits,1000,1000,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,350,2.0832727272727274,,22,0
fire_exits,1000,1000,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,400,1.05125,,20,0
fire_exits,1000,1000,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,450,1.6805238095238098,,21,0
fire_exits,1000,1000,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,500,1.7587058823529411,,17,0
fire_exits,1000,1000,1,50,0.25,0.25,0.25,0.25,250,1.82185,,20,0
fire_exits,1000,1000,1,50,0.25,0.25,0.25,0.25,300,1.5182499999999999,,20,0
fire_exits,1000,1000,1,50,0.25,0.25,0.25,0.25,350,2.1342380952380955,,21,0
fire_exits,1000,1000,1,50,0.25,0.25,0.25,0.25,400,2.4747727272727276,,22,0
fire_exits,1000,1000,1,50,0.25,0.25,0.25,0.25,450,2.8323809523809524,,21,0
fire_exits,1000,1000,1,50,0.25,0.25,0.25,0.25,500,1.60344,,25,0
fire_exits,1500,1500,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,250,1.6102,,5,0
fire_exits,1500,1500,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,300,2.8168333333333333,,6,0
fire_exits,1500,1500,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,350,2.573176470588235,,17,0
fire_exits,1500,1500,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,400,2.8387894736842103,,19,0
fire_exits,1500,1500,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,450,2.292736842105263,,19,0
fire_exits,1500,1500,1,50,0.15,0.2833333333333333,0.2833333333333333,0.2833333333333333,500,2.0425,,22,0
fire_exits,1500,1500,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,250,3.028,,15,0
fire_exits,1500,1500,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,300,2.101,,8,0
fire_exits,1500,1500,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,350,3.756470588235294,,17,0
fire_exits,1500,1500,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,400,2.5055238095238095,,21,0
fire_exits,1500,1500,1,50,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,450,2.91685,,20,0
